featureset_name	learner_name	objective	train_set_name	training_set_size	train_score_mean	test_score_mean	train_score_std	test_score_std	scikit_learn_version	version
all	RandomForestClassifier	accuracy	train	56	1.0	0.7482517482517481	0.0	0.02873852682036818	0.18.1	1.2.1
all	RandomForestClassifier	accuracy	train	184	0.996195652173913	0.7769230769230768	0.005155887489404989	0.03369084687337483	0.18.1	1.2.1
all	RandomForestClassifier	accuracy	train	312	0.9929487179487181	0.788111888111888	0.005612788690839207	0.037737768698969845	0.18.1	1.2.1
all	RandomForestClassifier	accuracy	train	440	0.9895454545454545	0.8027972027972028	0.005160420110886791	0.038131664422710564	0.18.1	1.2.1
all	RandomForestClassifier	accuracy	train	569	0.9857644991212654	0.8062937062937063	0.0037465206690847955	0.03196959286898592	0.18.1	1.2.1
all	SVC	accuracy	train	56	0.9428571428571428	0.565034965034965	0.04517539514526258	0.07137588516178885	0.18.1	1.2.1
all	SVC	accuracy	train	184	0.9184782608695651	0.6251748251748251	0.01620339114130281	0.04185431363629545	0.18.1	1.2.1
all	SVC	accuracy	train	312	0.9099358974358974	0.6412587412587413	0.011649709037208529	0.03505040084164473	0.18.1	1.2.1
all	SVC	accuracy	train	440	0.9095454545454544	0.6650349650349651	0.011479210257500481	0.03836606076739918	0.18.1	1.2.1
all	SVC	accuracy	train	569	0.9107205623901582	0.674125874125874	0.007629207074914927	0.03060633578027013	0.18.1	1.2.1
all	MultinomialNB	accuracy	train	56	0.6910714285714286	0.6602097902097903	0.059874508014318664	0.05443227354641587	0.18.1	1.2.1
all	MultinomialNB	accuracy	train	184	0.6816304347826088	0.681888111888112	0.024270445690135634	0.03618681915241435	0.18.1	1.2.1
all	MultinomialNB	accuracy	train	312	0.6815384615384616	0.6812587412587413	0.01855253087556276	0.03471948816350006	0.18.1	1.2.1
all	MultinomialNB	accuracy	train	440	0.6799318181818182	0.6810489510489509	0.012969840985529299	0.03551721925358449	0.18.1	1.2.1
all	MultinomialNB	accuracy	train	569	0.6790861159929702	0.6797902097902099	0.008627905028593804	0.034549984131568186	0.18.1	1.2.1
economic_and_vitals	RandomForestClassifier	accuracy	train	56	0.9982142857142857	0.7300699300699302	0.005646924393157836	0.043633972799245094	0.18.1	1.2.1
economic_and_vitals	RandomForestClassifier	accuracy	train	184	0.9945652173913044	0.7692307692307694	0.0057287638771166315	0.029485106388516365	0.18.1	1.2.1
economic_and_vitals	RandomForestClassifier	accuracy	train	312	0.9919871794871795	0.7671328671328671	0.006275288528029253	0.03075686690917621	0.18.1	1.2.1
economic_and_vitals	RandomForestClassifier	accuracy	train	440	0.9879545454545455	0.7853146853146854	0.0056742373669921185	0.03611925532593255	0.18.1	1.2.1
economic_and_vitals	RandomForestClassifier	accuracy	train	569	0.984182776801406	0.7958041958041957	0.00405870136512915	0.031064487177543454	0.18.1	1.2.1
economic_and_vitals	SVC	accuracy	train	56	0.9571428571428571	0.583916083916084	0.03875909665738025	0.06901105521252897	0.18.1	1.2.1
economic_and_vitals	SVC	accuracy	train	184	0.9364130434782607	0.6160839160839161	0.013076146690303336	0.034171253916823435	0.18.1	1.2.1
economic_and_vitals	SVC	accuracy	train	312	0.9304487179487179	0.6412587412587412	0.010473355498420914	0.028367446016925497	0.18.1	1.2.1
economic_and_vitals	SVC	accuracy	train	440	0.9252272727272727	0.6510489510489511	0.008329889095396018	0.03892843682637247	0.18.1	1.2.1
economic_and_vitals	SVC	accuracy	train	569	0.9224956063268893	0.6839160839160839	0.005069993327104546	0.04048166591345904	0.18.1	1.2.1
economic_and_vitals	MultinomialNB	accuracy	train	56	0.6801785714285713	0.6611188811188811	0.06366012547060368	0.061161165916067135	0.18.1	1.2.1
economic_and_vitals	MultinomialNB	accuracy	train	184	0.6782065217391304	0.6800699300699301	0.026917931332286947	0.039613013735079534	0.18.1	1.2.1
economic_and_vitals	MultinomialNB	accuracy	train	312	0.6817628205128206	0.682167832167832	0.0209521347219947	0.03589736709564827	0.18.1	1.2.1
economic_and_vitals	MultinomialNB	accuracy	train	440	0.6817272727272726	0.6817482517482516	0.013769324239319555	0.034723969442088325	0.18.1	1.2.1
economic_and_vitals	MultinomialNB	accuracy	train	569	0.6810896309314587	0.6824475524475525	0.008878896794100843	0.03487443230629419	0.18.1	1.2.1
