ENVO:00000015	ocean
ENVO:00000031	wadi
ENVO:00000047	canopy
ENVO:00000063	water body
ENVO:00000079	flume
ENVO:00000095	lava field
ENVO:00000111	forest
ENVO:00000127	badland
ENVO:00000143	river bank
ENVO:00000159	sugar plantation
ENVO:00000175	karst
ENVO:00000191	physiographic feature
ENVO:00000207	oceanic zone
ENVO:00000223	continental shelf
ENVO:00000239	pocasin
ENVO:00000255	flood plain
ENVO:00000271	chott
ENVO:00000287	butte
ENVO:00000303	coast
ENVO:00000319	low tide zone
ENVO:00000335	polygonal karst
ENVO:00000351	volcanic arc
ENVO:00000367	national park
ENVO:00000384	river bed
ENVO:00000400	cinder cone
ENVO:00000416	coastal dune
ENVO:00000432	monadnock
ENVO:00000448	hydroelectric reservoir
ENVO:00000464	artificial harbor
ENVO:00000480	peak
ENVO:00000496	rill
ENVO:00000512	pond bed
ENVO:00000528	ice cap ridge
ENVO:00000544	leat
ENVO:00000560	nuclear weapons test site
ENVO:00002019	brackish water
ENVO:00002035	meteorite
ENVO:00002051	stony-iron meteorite
ENVO:00002115	petroleum contaminated sediment
ENVO:00002131	epilimnion
ENVO:00002147	coal mine lake sediment
ENVO:00002179	intertidal sediment
ENVO:00002195	pyritic acid mine drainage
ENVO:00002212	thermophilic granular sludge
ENVO:00002228	pond water
ENVO:00002244	gleysol
ENVO:00002260	dune soil
ENVO:00002276	animal waste
ENVO:00003085	skatole enriched soil
ENVO:00003860	pig manure
ENVO:00005747	compost soil
ENVO:00005763	humus-rich acidic ash soil
ENVO:00005779	vegetable garden soil
ENVO:00012408	aquifer
ENVO:01000003	oil well
ENVO:01000019	cave floor
ENVO:01000067	marine current
ENVO:01000083	pelagic isopycnal surface
ENVO:01000099	marine surface current
ENVO:01000115	cobble sediment
ENVO:01000131	mesophilic sediment
ENVO:01000147	marine coral reef fore reef
ENVO:01000243	boulder
ENVO:00000009	national geopolitical entity
ENVO:00000025	reservoir
ENVO:00000041	tidal creek
ENVO:00000057	mangrove swamp
ENVO:00000073	building
ENVO:00000089	inland cliff
ENVO:00000105	lake surface
ENVO:00000121	artificial channel
ENVO:00000137	coastal inlet
ENVO:00000153	headwater
ENVO:00000169	canyon
ENVO:00000185	raised mire
ENVO:00000201	fjord lake
ENVO:00000217	solfatara
ENVO:00000233	swamp
ENVO:00000249	lateral moraine
ENVO:00000265	guyot
ENVO:00000281	fault escarpment
ENVO:00000297	paddy field
ENVO:00000313	blowout
ENVO:00000329	phreatic zone
ENVO:00000345	grain of beach sand
ENVO:00000361	site of special scientific interest
ENVO:00000377	artificial lake
ENVO:00000394	strait
ENVO:00000410	kipuka
ENVO:00000426	ocean floor
ENVO:00000442	maelstrom
ENVO:00000458	valley glacier
ENVO:00000474	cut
ENVO:00000490	consequent stream
ENVO:00000506	intermittent reservoir
ENVO:00000522	canal tunnel
ENVO:00000538	arrugado
ENVO:00000554	saddle dam
ENVO:00000570	brackish water habitat
ENVO:00001997	acid mine drainage
ENVO:00002013	igneous rock
ENVO:00002029	extraterrestial habitat
ENVO:00002045	anaerobic sediment
ENVO:00002061	oil spill
ENVO:00002125	anaerobic dechlorinating bioreactor
ENVO:00002141	leachate
ENVO:00002157	stromatolite mat
ENVO:00002173	hospital
ENVO:00002205	unexploded-ordnance dump
ENVO:00002222	food shop
ENVO:00002238	durisol
ENVO:00002254	vertisol
ENVO:00002270	chemocline
ENVO:00002875	oil contaminated soil
ENVO:00003095	quinate enriched soil
ENVO:00005741	alpine soil
ENVO:00005757	bacteria enriched soil
ENVO:00005773	pasture soil
ENVO:00005789	blue-grass field soil
ENVO:00005805	nest of bird
ENVO:00010621	medical instrument
ENVO:01000061	marine wind mixed layer
ENVO:01000077	marine pycnocline
ENVO:01000093	boundary current front
ENVO:01000109	marine warm-water sphere
ENVO:01000141	seal fall
ENVO:01000157	microbial mat material
ENVO:01000173	anoxic water
ENVO:01000205	subtropical
ENVO:01000237	coastal scrubland
ENVO:02000003	pockmark field
ENVO:00000010	transport feature
ENVO:00000026	well
ENVO:00000042	drainage canal
ENVO:00000058	underground lake
ENVO:00000074	dam
ENVO:00000090	coastal plain
ENVO:00000106	grassland
ENVO:00000122	track
ENVO:00000138	cove
ENVO:00000154	flood meadow
ENVO:00000170	dune
ENVO:00000186	string mire
ENVO:00000202	oxbow lake
ENVO:00000218	black smoker
ENVO:00000234	bayou
ENVO:00000250	medial moraine
ENVO:00000266	pasture
ENVO:00000282	esker
ENVO:00000298	iceberg
ENVO:00000314	alluvial fan
ENVO:00000330	stalagmite
ENVO:00000346	grain of acid dune sand
ENVO:00000362	marine park
ENVO:00000378	canal head reservoir
ENVO:00000395	channel
ENVO:00000411	ford
ENVO:00000427	meander
ENVO:00000443	flood control reservoir
ENVO:00000459	outlet glacier
ENVO:00000475	inlet
ENVO:00000491	subsequent stream
ENVO:00000507	wadi mouth
ENVO:00000523	cutoff
ENVO:00000539	sill
ENVO:00000555	check dam
ENVO:00000571	arboreal habitat
